         640774 function calls (638121 primitive calls) in 0.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 pyparsing.py:2471(__init__)
     1341    0.000    0.000    0.000    0.000 _mathtext_data.py:1770(<genexpr>)
      103    0.000    0.000    0.000    0.000 sre_parse.py:236(_class_escape)
      174    0.000    0.000    0.000    0.000 pyparsing.py:938(preParse)
       13    0.000    0.000    0.000    0.000 path.py:212(_update_values)
      260    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
      111    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     19/7    0.000    0.000    0.000    0.000 pyparsing.py:2647(streamline)
      158    0.000    0.000    0.000    0.000 sre_compile.py:546(isstring)
        1    0.000    0.000    0.000    0.000 backend_tools.py:654(ToolZoom)
        1    0.000    0.000    0.000    0.000 _polybase.py:8(<module>)
        3    0.000    0.000    0.000    0.000 numeric.py:365(extend_all)
        1    0.000    0.000    0.000    0.000 pyparsing.py:2324(setResultsName)
        1    0.000    0.000    0.000    0.000 legend.py:107(Legend)
        1    0.000    0.000    0.000    0.000 opcode.py:5(<module>)
       83    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
      490    0.000    0.000    0.000    0.000 {method 'group' of '_sre.SRE_Match' objects}
      733    0.000    0.000    0.000    0.000 {method 'lower' of 'unicode' objects}
        1    0.000    0.000    0.000    0.000 dviread.py:20(<module>)
        1    0.000    0.000    0.000    0.000 numerictypes.py:957(_register_types)
        1    0.000    0.000    0.000    0.000 suite.py:1(<module>)
